"Povpreène meseène plaèe po: OBÈINE, LETO , KAZALNIK"
" ";"2011";1292.91
" ";"2012";1296.95
" ";"2013";1337.61
" ";"2014";1362.08
" ";"2015";1400.68
"Naklo"
" ";"2011";1457.85
" ";"2012";1450.14
" ";"2013";1504.20
" ";"2014";1472.43
" ";"2015";1420.82
"Nazarje"
" ";"2011";1264.84
" ";"2012";1330.01
" ";"2013";1330.93
" ";"2014";1405.83
" ";"2015";1466.76
"Nova Gorica"
" ";"2011";1591.57
" ";"2012";1564.47
" ";"2013";1541.73
" ";"2014";1542.38
" ";"2015";1560.66
"Novo mesto"
" ";"2011";1685.34
" ";"2012";1714.75
" ";"2013";1723.95
" ";"2014";1781.56
" ";"2015";1766.16
"Odranci"
" ";"2011";1115.09
" ";"2012";1095.66
" ";"2013";1137.94
" ";"2014";1143.81
" ";"2015";1143.49
"Oplotnica"
" ";"2011";1098.78
" ";"2012";1101.67
" ";"2013";1122.24
" ";"2014";1146.38
" ";"2015";1168.89
"Ormož"
" ";"2011";1232.80
" ";"2012";1266.41
" ";"2013";1262.37
" ";"2014";1262.05
" ";"2015";1271.92
"Osilnica"
" ";"2011";883.67
" ";"2012";917.46
" ";"2013";983.12
" ";"2014";1003.34
" ";"2015";1032.41
"Pesnica"
" ";"2011";1312.79
" ";"2012";1321.39
" ";"2013";1290.21
" ";"2014";1316.94
" ";"2015";1357.42
"Piran/Pirano"
" ";"2011";1476.90
" ";"2012";1442.75
" ";"2013";1404.24
" ";"2014";1399.45
" ";"2015";1396.19
"Pivka"
" ";"2011";1211.72
" ";"2012";1345.82
" ";"2013";1347.70
" ";"2014";1344.73
" ";"2015";1357.92
"Podèetrtek"
" ";"2011";1172.93
" ";"2012";1176.82
" ";"2013";1193.26
" ";"2014";1206.37
" ";"2015";1199.99
"Podlehnik"
" ";"2011";1447.74
" ";"2012";1441.92
" ";"2013";1460.66
" ";"2014";1466.39
" ";"2015";1501.60
"Podvelka"
" ";"2011";1161.48
" ";"2012";1172.58
" ";"2013";1205.57
" ";"2014";1190.57
" ";"2015";1217.89
"Poljèane"
" ";"2011";1165.47
" ";"2012";1161.27
" ";"2013";1132.88
" ";"2014";1142.91
" ";"2015";1181.64
"Polzela"
" ";"2011";1100.83
" ";"2012";1130.75
" ";"2013";1165.90
" ";"2014";1164.17
" ";"2015";1185.93
"Postojna"
" ";"2011";1436.74
" ";"2012";1407.07
" ";"2013";1404.62
" ";"2014";1436.83
" ";"2015";1463.71
"Prebold"
" ";"2011";1256.50
" ";"2012";1244.43
" ";"2013";1276.92
" ";"2014";1271.68
" ";"2015";1304.13
"Preddvor"
" ";"2011";1285.87
" ";"2012";1292.82
" ";"2013";1272.97
" ";"2014";1305.37
" ";"2015";1315.49
"Prevalje"
" ";"2011";1268.37
" ";"2012";1284.12
" ";"2013";1322.60
" ";"2014";1331.36
" ";"2015";1339.08
"Ptuj"
" ";"2011";1304.16
" ";"2012";1276.96
" ";"2013";1279.82
" ";"2014";1284.70
" ";"2015";1307.51
"Puconci"
" ";"2011";1450.95
" ";"2012";1487.83
" ";"2013";1433.39
" ";"2014";1413.53
" ";"2015";1407.59
"Raèe - Fram"
" ";"2011";1280.78
" ";"2012";1241.61
" ";"2013";1247.43
" ";"2014";1265.07
" ";"2015";1248.07
"Radeèe"
" ";"2011";1393.05
" ";"2012";1327.37
" ";"2013";1301.49
" ";"2014";1301.64
" ";"2015";1320.50
"Radenci"
" ";"2011";1359.21
" ";"2012";1364.94
" ";"2013";1347.15
" ";"2014";1350.11
" ";"2015";1370.95
"Radlje ob Dravi"
" ";"2011";1267.78
" ";"2012";1279.62
" ";"2013";1310.95
" ";"2014";1350.44
" ";"2015";1370.37
"Radovljica"
" ";"2011";1354.80
" ";"2012";1357.67
" ";"2013";1346.12
" ";"2014";1359.62
" ";"2015";1388.53
"Ravne na Koroškem"
" ";"2011";1485.85
" ";"2012";1500.42
" ";"2013";1505.02
" ";"2014";1528.78
" ";"2015";1584.42
"Razkrižje"
" ";"2011";1315.52
" ";"2012";1219.97
" ";"2013";1222.90
" ";"2014";1336.06
" ";"2015";1370.69
"Reèica ob Savinji"
" ";"2011";1052.83
" ";"2012";1049.90
" ";"2013";1054.98
" ";"2014";1043.17
" ";"2015";1059.07
"Renèe - Vogrsko"
" ";"2011";1306.86
" ";"2012";1310.26
" ";"2013";1254.10
" ";"2014";1308.89
" ";"2015";1322.71
"Ribnica"
" ";"2011";1325.74
" ";"2012";1368.73
" ";"2013";1385.74
" ";"2014";1408.12
" ";"2015";1431.13
"Ribnica na Pohorju"
" ";"2011";1257.28
" ";"2012";1209.26
" ";"2013";1290.42
" ";"2014";1288.65
" ";"2015";1261.75
"Rogaška Slatina"
" ";"2011";1193.51
" ";"2012";1199.36
" ";"2013";1214.06
" ";"2014";1247.03
" ";"2015";1262.57
"Rogašovci"
" ";"2011";1286.26
" ";"2012";1317.19
" ";"2013";1306.94
" ";"2014";1255.84
" ";"2015";1236.17
"Rogatec"
" ";"2011";1146.24
" ";"2012";1132.43
" ";"2013";1131.60
" ";"2014";1119.12
" ";"2015";1149.14
"Ruše"
" ";"2011";1512.94
" ";"2012";1531.93
" ";"2013";1554.96
" ";"2014";1631.61
" ";"2015";1695.78
"Selnica ob Dravi"
" ";"2011";1390.22
" ";"2012";1364.75
" ";"2013";1366.11
" ";"2014";1225.30
" ";"2015";1224.60
"Semiè"
" ";"2011";1259.10
" ";"2012";1203.68
" ";"2013";1149.97
" ";"2014";1171.11
" ";"2015";1263.79
"Sevnica"
" ";"2011";1272.68
" ";"2012";1262.22
" ";"2013";1276.35
" ";"2014";1302.92
" ";"2015";1323.84
"Sežana"
" ";"2011";1429.08
" ";"2012";1411.67
" ";"2013";1388.19
" ";"2014";1408.82
" ";"2015";1406.69
"Slovenj Gradec"
" ";"2011";1428.00
" ";"2012";1428.39
" ";"2013";1414.87
" ";"2014";1429.64
" ";"2015";1448.51
"Slovenska Bistrica"
" ";"2011";1412.03
" ";"2012";1421.52
" ";"2013";1460.28
" ";"2014";1449.24
" ";"2015";1452.77
"Slovenske Konjice"
" ";"2011";1248.42
" ";"2012";1245.63
" ";"2013";1271.40
" ";"2014";1302.27
" ";"2015";1316.77
"Sodražica"
" ";"2011";1338.41
" ";"2012";1322.02
" ";"2013";1294.27
" ";"2014";1314.88
" ";"2015";1287.46
"Solèava"
" ";"2011";1251.27
" ";"2012";1450.99
" ";"2013";1362.93
" ";"2014";1339.06
" ";"2015";1366.31
"Središèe ob Dravi"
" ";"2011";1602.03
" ";"2012";1480.41
" ";"2013";1505.94
" ";"2014";1481.18
" ";"2015";1484.98
"Starše"
" ";"2011";947.68
" ";"2012";1033.72
" ";"2013";1013.88
" ";"2014";1251.70
" ";"2015";1240.25
"Straža"
" ";"2011";1588.94
" ";"2012";1299.99
" ";"2013";1302.41
" ";"2014";1314.12
" ";"2015";1313.71
"Sveta Ana"
" ";"2011";1512.86
" ";"2012";1463.04
" ";"2013";1397.33
" ";"2014";1289.35
" ";"2015";1404.67
"Sveta Trojica v Slov. goricah"
" ";"2011";1325.11
" ";"2012";1348.52
" ";"2013";1379.27
" ";"2014";1295.79
" ";"2015";1260.23
"Sveti Andraž v Slov. goricah"
" ";"2011";1299.45
" ";"2012";1279.65
" ";"2013";1394.85
" ";"2014";1430.27
" ";"2015";1388.73
"Sveti Jurij ob Šèavnici"
" ";"2011";1316.03
" ";"2012";1337.09
" ";"2013";1310.52
" ";"2014";1324.29
" ";"2015";1357.71
"Sveti Jurij v Slov. goricah"
" ";"2011";1491.63
" ";"2012";1466.05
" ";"2013";1439.41
" ";"2014";1418.23
" ";"2015";1393.17
"Sveti Tomaž"
" ";"2011";1511.64
" ";"2012";1464.32
" ";"2013";1421.42
" ";"2014";1424.06
" ";"2015";1419.03
"Šalovci"
" ";"2011";1342.51
" ";"2012";1271.58
" ";"2013";1265.14
" ";"2014";1267.32
" ";"2015";1251.20
"Šempeter - Vrtojba"
" ";"2011";1523.68
" ";"2012";1529.94
" ";"2013";1536.13
" ";"2014";1558.28
" ";"2015";1584.64
"Šenèur"
" ";"2011";1523.39
" ";"2012";1545.07
" ";"2013";1534.32
" ";"2014";1519.42
" ";"2015";1555.97
"Šentilj"
" ";"2011";1313.39
" ";"2012";1298.18
" ";"2013";1319.51
" ";"2014";1341.59
" ";"2015";1330.81
"Šentjernej"
" ";"2011";1396.28
" ";"2012";1417.64
" ";"2013";1486.69
" ";"2014";1520.02
" ";"2015";1581.23
"Šentjur"
" ";"2011";1296.45
" ";"2012";1275.45
" ";"2013";1265.59
" ";"2014";1287.93
" ";"2015";1300.73
"Šentrupert"
" ";"2011";1480.27
" ";"2012";1459.93
" ";"2013";1443.96
" ";"2014";1510.73
" ";"2015";1504.11
"Škocjan"
" ";"2011";1283.62
" ";"2012";1375.23
" ";"2013";1386.16
" ";"2014";1424.11
" ";"2015";1470.79
"Škofja Loka"
" ";"2011";1426.55
" ";"2012";1472.36
" ";"2013";1512.37
" ";"2014";1570.02
" ";"2015";1593.55
"Škofljica"
" ";"2011";1288.61
" ";"2012";1262.00
" ";"2013";1268.88
" ";"2014";1281.01
" ";"2015";1285.99
"Šmarje pri Jelšah"
" ";"2011";1273.18
" ";"2012";1255.41
" ";"2013";1257.13
" ";"2014";1280.64
" ";"2015";1333.25
"Šmarješke Toplice"
" ";"2011";1402.41
" ";"2012";1366.23
" ";"2013";1383.25
" ";"2014";1389.23
" ";"2015";1397.47
"Šmartno ob Paki"
" ";"2011";1251.35
" ";"2012";1221.41
" ";"2013";1203.64
" ";"2014";1216.04
" ";"2015";1219.53
"Šmartno pri Litiji"
" ";"2011";1168.25
" ";"2012";1173.62
" ";"2013";1175.99
" ";"2014";1170.70
" ";"2015";1180.78
"Šoštanj"
" ";"2011";1646.21
" ";"2012";1653.82
" ";"2013";1690.99
" ";"2014";1740.95
" ";"2015";1660.68
"Štore"
" ";"2011";1467.33
" ";"2012";1463.11
" ";"2013";1494.99
" ";"2014";1571.51
" ";"2015";1622.08
"Tabor"
" ";"2011";1230.69
" ";"2012";1396.14
" ";"2013";1188.33
" ";"2014";1171.06
" ";"2015";1149.70
"Tišina"
" ";"2011";1426.89
" ";"2012";1370.62
" ";"2013";1356.98
" ";"2014";1381.02
" ";"2015";1390.08
"Tolmin"
" ";"2011";1341.60
" ";"2012";1357.63
" ";"2013";1380.99
" ";"2014";1382.98
" ";"2015";1411.53
"Trbovlje"
" ";"2011";1617.67
" ";"2012";1600.87
" ";"2013";1580.03
" ";"2014";1562.67
" ";"2015";1558.06
"Trebnje"
" ";"2011";1390.85
" ";"2012";1347.60
" ";"2013";1363.11
" ";"2014";1388.47
" ";"2015";1403.22
"Trnovska vas"
" ";"2011";1141.38
" ";"2012";1339.91
" ";"2013";1333.47
" ";"2014";1370.12
" ";"2015";1373.13
"Trzin"
" ";"2011";1438.52
" ";"2012";1485.90
" ";"2013";1493.20
" ";"2014";1485.41
" ";"2015";1550.69
"Tržiè"
" ";"2011";1290.65
" ";"2012";1290.36
" ";"2013";1302.82
" ";"2014";1301.50
" ";"2015";1321.30
"Turnišèe"
" ";"2011";1176.89
" ";"2012";1188.10
" ";"2013";1172.28
" ";"2014";1170.02
" ";"2015";1192.13
"Velenje"
" ";"2011";1445.16
" ";"2012";1462.84
" ";"2013";1475.48
" ";"2014";1519.09
" ";"2015";1489.26
"Velika Polana"
" ";"2011";1310.13
" ";"2012";1221.67
" ";"2013";1256.97
" ";"2014";1244.65
" ";"2015";1304.35
"Velike Lašèe"
" ";"2011";1281.87
" ";"2012";1235.47
" ";"2013";1189.12
" ";"2014";1201.04
" ";"2015";1204.46
"Veržej"
" ";"2011";1342.64
" ";"2012";1365.03
" ";"2013";1357.18
" ";"2014";1382.87
" ";"2015";1327.29
"Videm"
" ";"2011";1211.55
" ";"2012";1189.27
" ";"2013";1194.10
" ";"2014";1218.69
" ";"2015";1197.11
"Vipava"
" ";"2011";1328.89
" ";"2012";1313.93
" ";"2013";1350.97
" ";"2014";1391.68
" ";"2015";1380.34
"Vitanje"
" ";"2011";1228.70
" ";"2012";1219.07
" ";"2013";1261.29
" ";"2014";1270.96
" ";"2015";1276.97
"Vodice"
" ";"2011";1309.36
" ";"2012";1280.22
" ";"2013";1261.36
" ";"2014";1273.61
" ";"2015";1290.48
"Vojnik"
" ";"2011";1342.93
" ";"2012";1333.85
" ";"2013";1328.49
" ";"2014";1321.17
" ";"2015";1314.90
"Vransko"
" ";"2011";1371.08
" ";"2012";1343.36
" ";"2013";1308.27
" ";"2014";1325.28
" ";"2015";1327.25
"Vrhnika"
" ";"2011";1326.56
" ";"2012";1311.70
" ";"2013";1330.61
" ";"2014";1355.26
" ";"2015";1366.48
"Vuzenica"
" ";"2011";1207.90
" ";"2012";1271.56
" ";"2013";1252.34
" ";"2014";1228.19
" ";"2015";1261.48
"Zagorje ob Savi"
" ";"2011";1347.87
" ";"2012";1273.93
" ";"2013";1309.40
" ";"2014";1313.62
" ";"2015";1312.68
"Zavrè"
" ";"2011";1142.12
" ";"2012";1183.56
" ";"2013";1116.13
" ";"2014";1065.66
" ";"2015";1110.27
"Zreèe"
" ";"2011";1298.48
" ";"2012";1318.75
" ";"2013";1360.17
" ";"2014";1399.90
" ";"2015";1431.73
"Žalec"
" ";"2011";1343.25
" ";"2012";1335.61
" ";"2013";1336.98
" ";"2014";1339.65
" ";"2015";1366.59
"Železniki"
" ";"2011";1264.41
" ";"2012";1245.75
" ";"2013";1332.08
" ";"2014";1405.70
" ";"2015";1430.53
"Žetale"
" ";"2011";1358.40
" ";"2012";1370.38
" ";"2013";1342.08
" ";"2014";1319.28
" ";"2015";1364.07
"Žiri"
" ";"2011";1243.50
" ";"2012";1274.05
" ";"2013";1299.08
" ";"2014";1352.08
" ";"2015";1384.73
"Žirovnica"
" ";"2011";1421.13
" ";"2012";1467.57
" ";"2013";1522.23
" ";"2014";1471.07
" ";"2015";1468.56
"Žužemberk"
" ";"2011";1265.77
" ";"2012";1236.06
" ";"2013";1258.51
" ";"2014";1286.73
" ";"2015";1318.19

"Vir: Statistièni urad Republike Slovenije. "
" "
"Pri izraèunu podatkov o povpreènih meseènih plaèah za leto 2015 so za "
"obdobje od januarja do oktobra 2015 uporabljeni preraèunani podatki "
"zaradi spremembe v virih podatkov."

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8212 "
"target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot, raven SKTE 5. Podatki o spremembah "
"posameznih obèin so dostopni na (seznam "
"HREF=http://www.stat.si/tema_splosno_upravno_obcine.asp "
"TARGET=_blank) povezavi. V Seznamu obèin s spremembami obmoèij obèin "
"od leta 1995 dalje je opisana vrsta spremembe, naveden je datum, s "
"katerim je opisana teritorialna sprememba upoštevana pri "
"teritorialnem razvršèanju enot za statistiène namene ter naveden "
"Uradni list, v katerem so bile objavljene omenjene teritorialne "
"opombe. V seznamu obèin je navedeno zadnje veljavno stanje imen "
"obèin. "

"znesek v EUR"

